sep=,
"loc_index","api_name","canonical_id","hidden","english_name","english_description","german_name","german_description","french_name","french_description","italian_name","italian_description","spanish_name","spanish_description","schinese_name","schinese_description","russian_name","russian_description","brazilian_name","brazilian_description","japanese_name","japanese_description","polish_name","polish_description"
"48","ACH_ACTION_1_MINEMOONSTONE","action-1-mineMoonstone","no","Moonstone Miner","Upgrade Mine Moonstone to level 10.","Mondsteinschürfer","Verbessere Mondstein auf Stufe 10.","Mineur de pierre de lune","Améliorez Pierre de lune au niveau 10.","Minatore di Pietra di Luna","Migliora Pietra di Luna al livello 10.","Minero de piedra lunar","Mejora Piedra lunar al nivel 10.","月石矿工","将月石升级到10级。","Добытчик лунного камня","Улучшите «Лунный камень» до 10 уровня.","Minerador de Pedra-da-Lua","Melhore Pedra-da-Lua para o nível 10.","月長石鉱夫","「月長石を採掘」をレベル10まで強化する。","Górnik kamienia księżycowego","Ulepsz „Kamień księżycowy” do poziomu 10."
"49","ACH_ACTION_2_BONETOTEMS","action-2-boneTotems","no","Bone Sacrificer","Sacrifice bone totems 20 times.","Knochentotemopferer","Opfere 20 Mal Knochentotems.","Sacrificateur d'os","Sacrifiez des totems d'os 20 fois.","Sacrificatore di Ossa","Sacrifica totem d'ossa 20 volte.","Sacrificador de huesos","Sacrifica tótems de hueso 20 veces.","骨祭者","献祭骨图腾20次。","Жертвователь костей","Принесите костяные тотемы в жертву 20 раз.","Sacrificador de Ossos","Sacrifique totens de osso 20 vezes.","骨の贄","骨のトーテムを20回生贄に捧げる。","Ofiarnik kości","Złóż kościane totemy w ofierze 20 razy."
"50","ACH_ACTION_2_LEATHERTOTEMS","action-2-leatherTotems","no","Leather Sacrificer","Sacrifice leather totems 20 times.","Ledertotemopferer","Opfere 20 Mal Ledertotems.","Sacrificateur de cuir","Sacrifiez des totems de cuir 20 fois.","Sacrificatore di Cuoio","Sacrifica totem di cuoio 20 volte.","Sacrificador de cuero","Sacrifica tótems de cuero 20 veces.","皮祭者","献祭皮图腾20次。","Жертвователь кожи","Принесите кожаные тотемы в жертву 20 раз.","Sacrificador de Couro","Sacrifique totens de couro 20 vezes.","皮革の贄","皮革のトーテムを20回生贄に捧げる。","Ofiarnik skóry","Złóż skórzane totemy w ofierze 20 razy."
"51","ACH_ACTION_2_ANIMALS","action-2-animals","no","Animal Sacrificer","Sacrifice animals 10 times.","Tieropferer","Opfere 10 Mal Tiere.","Sacrificateur d'animaux","Sacrifiez des animaux 10 fois.","Sacrificatore di Animali","Sacrifica animali 10 volte.","Sacrificador de animales","Sacrifica animales 10 veces.","牲祭者","献祭动物10次。","Жертвователь животных","Принесите животных в жертву 10 раз.","Sacrificador de Animais","Sacrifique animais 10 vezes.","獣の贄","獣を10回生贄に捧げる。","Ofiarnik zwierząt","Złóż zwierzęta w ofierze 10 razy."
"52","ACH_ACTION_2_CRAFTBONETOTEMS","action-2-craftBoneTotems","no","Bone Totem Crafter","Upgrade Craft Bone Totems to level 10.","Knochentotemschnitzer","Verbessere Knochentotems auf Stufe 10.","Artisan de totems d'os","Améliorez Totems d'os au niveau 10.","Fabbricante di Totem d'Ossa","Migliora Totem d'Ossa al livello 10.","Artesano de tótems de hueso","Mejora Tótems de hueso al nivel 10.","骨图腾工匠","将骨图腾升级到10级。","Мастер костяных тотемов","Улучшите «Костяные тотемы» до 10 уровня.","Fabricante de Totens de Osso","Melhore Totens de Osso para o nível 10.","骨トーテム職人","「骨のトーテム」をレベル10まで強化する。","Twórca kościanych totemów","Ulepsz „Kościane totemy” do poziomu 10."
"53","ACH_ACTION_2_CRAFTLEATHERTOTEMS","action-2-craftLeatherTotems","no","Leather Totem Crafter","Upgrade Craft Leather Totems to level 10.","Ledertotemmacher","Verbessere Ledertotems auf Stufe 10.","Artisan de totems de cuir","Améliorez Totems de cuir au niveau 10.","Fabbricante di Totem di Cuoio","Migliora Totem di Cuoio al livello 10.","Artesano de tótems de cuero","Mejora Tótems de cuero al nivel 10.","皮图腾工匠","将皮图腾升级到10级。","Мастер кожаных тотемов","Улучшите «Кожаные тотемы» до 10 уровня.","Fabricante de Totens de Couro","Melhore Totens de Couro para o nível 10.","皮革トーテム職人","「皮革のトーテム」をレベル10まで強化する。","Twórca skórzanych totemów","Ulepsz „Skórzane totemy” do poziomu 10."
"54","ACH_ACTION_3_EMBERBOMBS","action-3-emberBombs","no","Ember Bomb Crafter","Craft 20 Ember Bombs.","Glutbombenmacher","Stelle 20 Glutbomben her.","Artisan de bombes de braise","Fabriquez 20 bombes de braise.","Fabbricante di Bombe di Brace","Crea 20 Bombe di Brace.","Artesano de bombas de brasas","Fabrica 20 bombas de brasas.","余烬炸弹工匠","制作20个余烬炸弹。","Мастер бомб жара","Создайте 20 бомб жара.","Fabricante de Bombas de Brasa","Crie 20 Bombas de Brasa.","残火爆弾職人","残火爆弾を20個作る。","Twórca bomb żaru","Wytwórz 20 bomb żaru."
"55","ACH_ACTION_3_ASHFIREBOMBS","action-3-ashfireBombs","no","Ashfire Bomb Crafter","Craft 20 Ashfire Bombs.","Aschfeuerbombenmacher","Stelle 20 Aschfeuerbomben her.","Artisan de bombes feu-cendre","Fabriquez 20 bombes feu-cendre.","Fabbricante di Bombe di Cenerardente","Crea 20 Bombe di Cenerardente.","Artesano de bombas de fuego ceniciento","Fabrica 20 bombas de fuego ceniciento.","灰火炸弹工匠","制作20个灰火炸弹。","Мастер пепельных бомб","Создайте 20 пепельных бомб.","Fabricante de Bombas de Cinzafogo","Crie 20 Bombas de Cinzafogo.","灰火爆弾職人","灰火爆弾を20個作る。","Twórca bomb popiołognia","Wytwórz 20 bomb popiołognia."
"56","ACH_ACTION_3_VEINFIREELIXIR","action-3-veinfireElixir","no","Veinfire Elixir Maker","Craft 10 Veinfire Elixirs.","Aderfeuer-Elixier-Brauer","Stelle 10 Aderfeuer-Elixiere her.","Artisan d'élixir feu-veine","Fabriquez 10 élixirs feu-veine.","Fabbricante di Elisir di Venafuoco","Crea 10 Elisir di Venafuoco.","Artesano de elixir de fuego venal","Fabrica 10 elixires de fuego venal.","脉火灵药工匠","制作10瓶脉火灵药。","Мастер эликсиров жилового огня","Создайте 10 эликсиров жилового огня.","Fabricante de Elixir de Fogo Venoso","Crie 10 Elixires de Fogo Venoso.","脈火の調合師","脈火の霊薬を10個作る。","Twórca eliksiru żyłognia","Wytwórz 10 eliksirów żyłognia."
"57","ACH_ACTION_3_BURNINGVEINS","action-3-burningVeins","no","Burning Veins","Use 10 Veinfire Elixirs.","Brennende Adern","Benutze 10 Aderfeuer-Elixiere.","Veines brûlantes","Utilisez 10 élixirs feu-veine.","Vene Ardenti","Usa 10 Elisir di Venafuoco.","Venas ardientes","Usa 10 elixires de fuego venal.","燃烧血脉","使用10瓶脉火灵药。","Горящие вены","Используйте 10 эликсиров жилового огня.","Veias Ardentes","Use 10 Elixires de Fogo Venoso.","燃える血脈","脈火の霊薬を10回使う。","Płonące żyły","Użyj 10 eliksirów żyłognia."
"58","ACH_ACTION_4_MERCHANTPURCHASES","action-4-merchantPurchases","no","Deal Maker","Make 100 merchant purchases.","Handelspartner","Tätige 100 Händlerkäufe.","Marchandeur","Effectuez 100 achats chez le marchand.","Affarista","Effettua 100 acquisti dal mercante.","Negociador","Haz 100 compras al mercader.","交易好手","与商人交易100次。","Умелый торговец","Совершите 100 покупок у торговца.","Negociador","Faça 100 compras com o mercador.","取引上手","商人から100回購入する。","Negocjator","Dokonaj 100 zakupów u wędrownego handlarza."
"59","ACH_ACTION_0_GAMBLERWINS","action-0-gamblerWins","no","Experienced Gambler","Win 10 times against the gambler.","Erfahrener Spieler","Besiege den besessenen Spieler 10 Mal.","Joueur aguerri","Battez le joueur 10 fois.","Giocatore Esperto","Vinci 10 volte contro il giocatore.","Jugador experimentado","Gana 10 veces contra el jugador.","老练赌徒","战胜赌徒10次。","Бывалый игрок","Победите игрока 10 раз.","Apostador Experiente","Vença o apostador 10 vezes.","熟練の賭博師","賭博師に10回勝つ。","Doświadczony hazardzista","Wygraj 10 razy z hazardzistą."
"60","ACH_ACTION_4_FEEDFIRE","action-4-feedFire","no","Fire Feeder","Feed the fire 100 times.","Feuerschürer","Schüre das Feuer 100 Mal.","Gardien du feu","Alimentez le feu 100 fois.","Guardiano del Fuoco","Alimenta il fuoco 100 volte.","Alimentador del fuego","Alimenta el fuego 100 veces.","添火者","添柴100次。","Хранитель огня","Подкормите огонь 100 раз.","Alimentador do Fogo","Alimente o fogo 100 vezes.","薪くべ","薪を100回くべる。","Karmiciel ognia","Nakarm ogień 100 razy."
"61","ACH_ACTION_4_MENTALCLARITY","action-4-mentalClarity","no","Mental Clarity","Use 5 Clarity Elixirs.","Geistige Klarheit","Benutze 5 Elixiere der Klarheit.","Clarté mentale","Utilisez 5 élixirs de clarté.","Lucidità Mentale","Usa 5 Elisir di Chiarezza.","Claridad mental","Usa 5 elixires de claridad.","心智清明","使用5瓶清晰灵药。","Ясность ума","Используйте 5 эликсиров ясности.","Clareza Mental","Use 5 Elixires de Clareza.","心の澄明","澄明の霊薬を5回使う。","Jasność umysłu","Użyj 5 eliksirów jasności."
"62","ACH_ACTION_4_WELLRESTED","action-4-wellRested","no","Heavy Sleeper","Rest for 20 hours in total.","Tiefschläfer","Raste insgesamt 20 Stunden.","Gros dormeur","Reposez-vous 20 heures au total.","Dormiglione","Riposa per 20 ore in totale.","Dormilón profundo","Descansa 20 horas en total.","酣眠者","累计休息20小时。","Крепко спящий","Отдохните всего 20 часов.","Sono Pesado","Descanse por 20 horas no total.","熟睡者","合計20時間休む。","Twardy śpioch","Odpoczywaj łącznie 20 godzin."
"63","ACH_ACTION_4_SOLSTICEGATHERINGS","action-4-solsticeGatherings","no","Solstice Celebrant","Hold 10 Solstice gatherings.","Sonnenwendfeierer","Halte 10 Sonnenwend-Feste ab.","Célébrant du solstice","Organisez 10 fêtes du solstice.","Celebrante del Solstizio","Organizza 10 raduni del solstizio.","Celebrante del solsticio","Celebra 10 reuniones del solsticio.","至日庆祝者","举行10次至日聚会。","Празднующий солнцестояние","Проведите 10 праздников солнцестояния.","Celebrante do Solstício","Realize 10 celebrações do solstício.","冬至の祝者","冬至の集いを10回開く。","Uczestnik przesilenia","Zorganizuj 10 zgromadzeń przesilenia."
"64","ACH_ACTION_4_INVESTOR","action-4-investor","no","Investor","Invest 2'500 gold in total.","Investor","Investiere insgesamt 2'500 Gold.","Investisseur","Investissez 2'500 d'or au total.","Investitore","Investi 2'500 di oro in totale.","Inversor","Invierte 2'500 de oro en total.","投资者","累计投资2'500黄金。","Инвестор","Инвестируйте всего 2'500 золота.","Investidor","Invista 2'500 de ouro no total.","投資家","金貨を合計2'500投資する。","Inwestor","Zainwestuj łącznie 2'500 złota."
"65","ACH_ACTION_4_LUCKYINVESTOR","action-4-luckyInvestor","no","Lucky Investor","Succeed on 10 investments.","Glücklicher Investor","Schließe 10 Investitionen erfolgreich ab.","Investisseur chanceux","Réussissez 10 investissements.","Investitore Fortunato","Riesci in 10 investimenti.","Inversor afortunado","Ten éxito en 10 inversiones.","幸运投资者","成功投资10次。","Удачливый инвестор","Успешно завершите 10 инвестиций.","Investidor Sortudo","Tenha sucesso em 10 investimentos.","幸運な投資家","投資を10回成功させる。","Szczęśliwy inwestor","Zakończ sukcesem 10 inwestycji."
"66","ACH_ACTION_4_INSIGHTFUL","action-4-insightful","no","Insightful","Spend 10'000 Insight in total.","Einsichtsvoll","Gib insgesamt 10'000 Einsicht aus.","Perspicace","Dépensez 10'000 de perspicacité au total.","Perspicace","Spendi 10'000 di Intuizione in totale.","Perspicaz","Gasta 10'000 de perspicacia en total.","洞察者","累计花费10'000洞见。","Проницательный","Потратьте всего 10'000 прозрения.","Perspicaz","Gaste 10'000 de Perspicácia no total.","洞察者","洞察を合計10'000消費する。","Wnikliwy","Wydaj łącznie 10'000 wglądu."
"67","ACH_ACTION_4_PILEOFDEAD","action-4-pileOfDead","no","Pile of Dead","Lose 250 villagers in total.","Totenhaufen","Verliere insgesamt 250 Dorfbewohner.","Tas de morts","Perdez 250 villageois au total.","Mucchio di Morti","Perdi 250 abitanti in totale.","Pila de muertos","Pierde 250 aldeanos en total.","尸堆","累计失去250名村民。","Груда мёртвых","Потеряйте всего 250 жителей.","Pilha de Mortos","Perca 250 aldeões no total.","死者の山","村人を合計250人失う。","Stos umarłych","Strać łącznie 250 wieśniaków."
"68","ACH_OVERALL_0_WINNORMAL","overall-0-winNormal","no","Normal Victory","Win a game on Normal.","Normaler Sieg","Gewinne ein Spiel im Normalen Modus.","Victoire normale","Gagnez une partie en mode normal.","Vittoria Normale","Vinci una partita in Modalità Normale.","Victoria normal","Gana una partida en modo normal.","普通胜利","在普通模式下赢得一局。","Обычная победа","Выиграйте игру в обычном режиме.","Vitória Normal","Vença um jogo no Modo Normal.","通常の勝利","通常モードでゲームに勝利する。","Normalne zwycięstwo","Wygraj grę w trybie normalnym."
"69","ACH_OVERALL_0_WINCRUEL","overall-0-winCruel","no","Cruel Victory","Win a game on Cruel.","Grausamer Sieg","Gewinne ein Spiel im Grausamen Modus.","Victoire cruelle","Gagnez une partie en mode cruel.","Vittoria Crudele","Vinci una partita in Modalità Crudele.","Victoria cruel","Gana una partida en modo cruel.","残酷胜利","在残酷模式下赢得一局。","Жестокая победа","Выиграйте игру в жестоком режиме.","Vitória Cruel","Vença um jogo no Modo Cruel.","残酷な勝利","残酷モードでゲームに勝利する。","Okrutne zwycięstwo","Wygraj grę w trybie okrutnym."
"70","ACH_OVERALL_0_CAVEVETERAN","overall-0-caveVeteran","no","Cave Veteran","Win 3 games.","Höhlenveteran","Gewinne 3 Spiele.","Vétéran de la grotte","Gagnez 3 parties.","Veterano della Caverna","Vinci 3 partite.","Veterano de la cueva","Gana 3 partidas.","洞穴老兵","赢得3局游戏。","Ветеран пещеры","Выиграйте 3 игры.","Veterano da Caverna","Vença 3 jogos.","洞窟の古参","ゲームに3回勝利する。","Weteran jaskini","Wygraj 3 gry."
"71","ACH_OVERALL_0_SPEEDRUNNER","overall-0-speedrunner","no","Speedrunner","Win a game in under 5 hours.","Speedrunner","Gewinne ein Spiel in unter 5 Stunden.","Sprinteur","Gagnez une partie en moins de 5 heures.","Velocista","Vinci una partita in meno di 5 ore.","Velocista","Gana una partida en menos de 5 horas.","速通者","在5小时内赢得一局游戏。","Скоростник","Выиграйте игру менее чем за 5 часов.","Velocista","Vença um jogo em menos de 5 horas.","最速走者","5時間以内にゲームに勝利する。","Błyskawiczny","Wygraj grę w mniej niż 5 godzin."
"72","ACH_OVERALL_0_ENDURANT","overall-0-endurant","no","Enduring","Play for 30 hours across all games.","Ausdauernder","Spiele über alle Spiele hinweg 30 Stunden.","Infatigable","Jouez 30 heures sur toutes les parties.","Resistente","Gioca 30 ore in tutte le partite.","Resistente","Juega 30 horas en todas las partidas.","持久者","在所有游戏中累计游玩30小时。","Выносливый","Играйте 30 часов за все игры.","Resistente","Jogue 30 horas no total, somando todas as partidas.","忍耐者","全プレイを通じて30時間遊ぶ。","Wytrwały","Graj łącznie 30 godzin we wszystkich grach."
"73","ACH_OVERALL_0_RESOURCEMAXER","overall-0-resourceMaxer","no","Resource Maxer","Hit Great Vault capacity with every capped resource.","Ressourcenmaximierer","Erreiche die Kapazität des Großen Tresors mit jeder begrenzten Ressource.","Maximiseur de ressources","Atteignez la capacité du Grand coffre avec chaque ressource limitée.","Massimizzatore di risorse","Raggiungi la capacità del Grande Caveau con ogni risorsa limitata.","Maximizador de recursos","Alcanza la capacidad de la Gran bóveda con cada recurso limitado.","资源达人","使每种有上限的资源都达到大金库容量。","Максимизатор ресурсов","Достигните вместимости Великого свода каждым ограниченным ресурсом.","Maximizador de recursos","Atinja a capacidade do Grande Cofre com cada recurso limitado.","資源の極み","上限のある資源をすべて、大金庫の容量まで貯める。","Mistrz zasobów","Osiągnij pojemność Wielkiego skarbca dla każdego ograniczonego zasobu."
"74","ACH_OVERALL_0_UPGRADEMAXER","overall-0-upgradeMaxer","no","Upgrade Maxer","Max every upgrade in the Estate tab.","Aufwertungsmaximierer","Bringe jedes Upgrade im Anwesen-Tab auf die Maximalstufe.","Maximiseur d'améliorations","Maximisez chaque amélioration de l'onglet Domaine.","Massimizzatore di miglioramenti","Porta al massimo ogni miglioramento della scheda Tenuta.","Maximizador de mejoras","Maximiza cada mejora de la pestaña Hacienda.","升级达人","将庄园页签中的每一项升级升至满级。","Максимизатор улучшений","Прокачайте каждое улучшение во вкладке Поместье до максимума.","Maximizador de melhorias","Maximize cada melhoria da aba Propriedade.","強化の極み","屋敷タブの強化をすべて最大にする。","Mistrz ulepszeń","Maksymalnie ulepsz wszystko w zakładce Posiadłość."
"75","ACH_OVERALL_0_ACHIEVEMENTMAXER","overall-0-achievementMaxer","no","Achievement Maxer","Complete every non-Epic achievement.","Erfolgsmaximierer","Schließe jeden nicht-epischen Erfolg ab.","Maximiseur de succès","Terminez chaque succès non épique.","Massimizzatore di obiettivi","Completa ogni obiettivo non Epico.","Maximizador de logros","Completa todos los logros no épicos.","成就达人","完成所有非史诗成就。","Максимизатор достижений","Выполните каждое неэпическое достижение.","Maximizador de conquistas","Complete todas as conquistas não Épicas.","実績の極み","叙事以外の実績をすべて達成する。","Mistrz osiągnięć","Ukończ każde nieepickie osiągnięcie."
